SPX,GLD,USO,SLV,EUR/USD
1872.180054,126.32,37.220001,19.110001,1.385502
1378.550049,91.400002,72.349998,16.818001,1.486503
1313.640015,152.770004,37.93,35.200001,1.396902
1096.560059,102.860001,39.91,17.059999,1.490802
1113.199951,120.389999,35.330002,18.33,1.227506
2465.840088,121.919998,9.72,16.129999,1.177579
2634.560059,126.230003,13.68,15.76,1.22414
1403.040039,85.389999,101.709999,16.554001,1.54691
2041.890015,100.5,10.74,13.08,1.087453
1933.75,125.989998,35.990002,19.17,1.336612
1956.97998,122.669998,39.009998,19.049999,1.359065
811.080017,91.029999,28.58,12.84,1.346692
1209.109985,174.399994,34.599998,38.790001,1.386905
1281.060059,157.779999,39.169998,28.51,1.293142
1443.689941,159.729996,32.73,29.0,1.321528
1328.97998,144.740005,38.549999,33.09,1.4269
1418.069946,165.160004,31.530001,32.029999,1.296344
2079.610107,108.550003,13.43,14.57,1.111803
1127.780029,108.550003,38.860001,17.219999,1.437505
2170.840088,129.220001,9.41,19.43,1.116807
2394.02002,119.900002,10.54,16.23,1.123886
2139.429932,120.790001,11.09,16.709999,1.091203
1070.52002,105.410004,36.209999,15.12,1.378208
1407.48999,86.269997,96.739998,16.573999,1.553591
1348.780029,91.580002,78.809998,17.378,1.472993
1188.680054,177.210007,34.34,39.599998,1.374608
1119.459961,167.119995,31.51,37.970001,1.417073
2374.149902,121.480003,10.25,16.98,1.086484
1092.02002,104.18,38.610001,17.559999,1.495595
1597.589966,141.919998,33.490002,23.02,1.306506
1472.119995,161.979996,34.169998,29.780001,1.305483
1692.77002,128.789993,36.880001,20.98,1.351698
931.76001,94.410004,36.25,15.14,1.417796
931.799988,86.230003,35.630001,11.41,1.392292
1994.98999,123.449997,17.82,16.540001,1.133556
1885.52002,123.389999,35.830002,19.059999,1.379482
2642.189941,128.110001,13.45,15.69,1.237164
1650.51001,134.610001,33.540001,21.879999,1.292507
2099.5,112.370003,16.76,15.36,1.059805
1461.050049,171.740005,34.119999,33.57,1.305824
2666.939941,124.970001,13.77,15.58,1.210962
1200.069946,160.639999,33.73,37.610001,1.406707
2749.47998,125.699997,12.28,15.61,1.239234
1166.209961,109.589996,40.23,17.08,1.373834
1652.319946,120.620003,36.77,18.57,1.278184
841.5,87.370003,29.209999,12.54,1.322594
2747.300049,126.139999,12.77,15.59,1.232666
840.23999,84.150002,31.030001,11.18,1.300508
2658.550049,128.279999,13.21,15.72,1.245749
1094.160034,120.220001,33.68,18.02,1.285645
1108.859985,117.379997,39.619999,18.780001,1.509001
1782.0,122.849998,33.900002,19.780001,1.343996
1256.77002,134.660004,38.98,28.610001,1.311544
1121.099976,124.019997,33.889999,20.049999,1.299174
1329.040039,151.050003,29.5,25.629999,1.244091
1278.180054,157.320007,31.76,27.459999,1.250938
1382.199951,159.369995,38.970001,30.59,1.311131
2070.77002,125.839996,11.79,17.370001,1.112805
1923.670044,104.739998,9.25,13.22,1.094104
1096.780029,107.480003,36.810001,16.83,1.415008
2498.370117,125.610001,10.07,16.76,1.189061
1959.530029,126.989998,39.290001,20.190001,1.362899
2071.5,123.68,11.47,16.690001,1.126266
1819.75,124.360001,35.639999,19.450001,1.36461
2270.439941,113.910004,11.54,15.91,1.059771
1293.369995,96.089996,83.730003,20.040001,1.533601
2256.959961,110.82,11.62,16.190001,1.054741
1308.439941,139.919998,41.389999,33.84,1.377183
883.919983,91.089996,32.189999,13.81,1.363605
1671.709961,133.910004,38.939999,22.84,1.325803
1142.709961,124.870003,33.220001,20.290001,1.306694
2051.600098,118.959999,10.59,15.06,1.127904
2017.459961,111.309998,15.31,15.13,1.135551
1412.969971,166.020004,31.780001,31.120001,1.293828
2186.47998,128.710007,10.39,19.049999,1.125366
1141.689941,110.82,40.720001,17.889999,1.431803
1307.099976,132.199997,38.09,28.290001,1.381788
1046.5,107.099998,40.990002,17.139999,1.4869
1859.329956,105.370003,8.24,13.48,1.091298
1089.630005,119.599998,34.330002,17.860001,1.231906
1348.859985,89.709999,75.760002,17.087,1.464408
1593.369995,151.050003,33.459999,26.700001,1.311475
